ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Color,Airbags,Turbo engine,Left wheel
45814804,3763.0,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6,Automatic,Rear,4-5,White,12,False,True
45787521,18189.0,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4,Automatic,Front,4-5,Silver,8,False,True
45759890,862.0,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8,Automatic,4x4,4-5,White,0,False,True
45758167,220.0,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4,Automatic,Front,4-5,White,0,False,True
45648538,5645.0,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6,Automatic,4x4,4-5,White,12,False,True
45757322,7527.0,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4,Automatic,Front,4-5,White,12,False,True
45800993,21953.0,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8,Automatic,4x4,4-5,White,10,False,False
45765301,8154.0,-,HONDA,Cr-v,1998,Jeep,No,Petrol,2.0,0 km,4,Automatic,4x4,4-5,White,2,False,False
45771208,21953.0,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4,Automatic,Front,4-5,Black,0,False,True
45801684,19121.0,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4,Automatic,Front,4-5,Black,4,False,True
45732386,36065.0,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2.0,69191 km,4,Automatic,Front,4-5,White,4,False,True
43892866,8781.0,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4,Tiptronic,Front,4-5,Green,12,False,False
45810403,6247.0,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4,Automatic,Front,4-5,Black,4,False,True
45810513,16289.0,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2.0,172000 km,4,Automatic,Front,4-5,Grey,4,False,True
45807330,77775.0,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8,Automatic,4x4,4-5,Black,10,False,True
45733554,2822.0,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2.0,350000 km,6,Manual,Rear,4-5,Blue,2,False,True
45769914,549.0,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4,Automatic,4x4,4-5,Blue,0,False,True
45744824,6981.0,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2.0,103246 km,4,Automatic,Front,4-5,Black,4,False,True
45792882,27284.0,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2.0,105394 km,4,Tiptronic,Front,4-5,Black,12,False,True
45330228,32929.0,-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0,160000 km,4,Automatic,Rear,2-3,Black,12,True,True
45776745,18817.0,-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8,333333 km,4,Manual,Rear,4-5,Black,0,True,True
45749534,4234.0,-,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4,Manual,Front,2-3,Blue,6,False,True
45789555,15053.0,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6,Tiptronic,Rear,4-5,Grey,8,False,True
45797276,15458.0,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2.0,123346 km,4,Automatic,Front,4-5,Black,4,False,True
45809760,2901.0,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4,Automatic,Front,4-5,Green,12,False,True
45810325,706.0,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6,Automatic,Rear,2-3,Black,12,False,True
45813375,314.0,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2.0,91760 km,4,Automatic,Front,4-5,Black,12,False,True
45756975,15681.0,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8,Automatic,4x4,4-5,Silver,0,False,True
45776758,26657.0,-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2,300000 km,4,Manual,Rear,4-5,White,1,True,True
45550733,10663.0,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4,Automatic,Front,4-5,Silver,6,False,True
44094036,12858.0,765,FORD,Focus SE,2015,Sedan,No,Petrol,2.0,91200 km,4,Automatic,Front,4-5,Sky blue,10,False,True
45642797,1019.0,917,BMW,X5,2013,Jeep,Yes,Diesel,3.0,137802 km,6,Automatic,4x4,4-5,Black,12,False,True
45760895,549.0,917,BMW,535,2013,Sedan,Yes,Hybrid,3.0,151586 km,6,Automatic,Rear,4-5,White,12,False,True
45742789,12858.0,-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4,Manual,Front,4-5,Silver,2,False,True
45783859,15000.0,-,BMW,328,2008,Sedan,Yes,CNG,3.0,210408 km,6,Tiptronic,Rear,4-5,White,12,False,True
45808992,85553.0,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4,Automatic,Front,4-5,Black,4,False,True
45731735,44752.0,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4,Automatic,Front,4-5,Grey,4,False,True
45797948,17158.0,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4,Automatic,Front,4-5,White,4,False,True
45782067,12231.0,-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4,Tiptronic,4x4,4-5,White,16,False,False
45534351,11917.0,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5.0,150000 km,12,Tiptronic,Rear,4-5,White,12,False,False
45753393,1254.0,-,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000 km,4,Manual,Rear,4-5,Red,0,False,True
45624923,94.0,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000 km,4,Variator,Front,4-5,Silver,4,False,False
45726679,25591.0,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2.0,85704 km,4,Automatic,Front,4-5,Silver,4,False,True
45803059,14897.0,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2.0,58962 km,4,Automatic,Front,4-5,White,4,False,True
45770405,23521.0,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4,Tiptronic,Front,4-5,White,12,False,True
45787329,3450.0,-,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000 km,3,Manual,Front,2-3,Green,0,False,True
45763505,706.0,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4,Automatic,Front,4-5,Red,12,False,True
45767451,1019.0,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6,Automatic,4x4,4-5,Black,12,False,True
45636958,16935.0,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2.0,71454 km,4,Automatic,Front,4-5,Black,0,False,True
45757670,19444.0,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4,Tiptronic,Front,4-5,Black,6,False,True
45733244,11604.0,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,346470 km,4,Automatic,Front,4-5,Silver,4,False,True
45802837,51965.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,59515 km,4,Automatic,Front,4-5,Blue,4,False,True
45646428,706.0,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4,Automatic,Front,4-5,Grey,12,False,True
45801896,9408.0,-,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2,111111 km,4,Manual,Rear,4-5,Silver,4,True,True
45797732,13328.0,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4,Automatic,Front,4-5,Yellow,4,False,True
45762683,17876.0,-,NISSAN,Serena,2012,Minivan,No,Petrol,2.0,143000 km,4,Tiptronic,Front,4-5,White,12,False,False
45767013,549.0,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6,Automatic,Front,4-5,Grey,12,False,True
45732074,20071.0,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4,Automatic,4x4,4-5,Silver,8,False,True
45731782,22894.0,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4,Automatic,Front,4-5,Yellow,4,False,True
45662111,2901.0,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4,Automatic,Front,4-5,White,0,False,True
45766794,15681.0,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4,Automatic,4x4,2-3,Blue,6,False,True
45764126,39829.0,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8,Automatic,4x4,4-5,Black,0,False,True
45768549,706.0,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8,Automatic,4x4,4-5,Black,0,False,True
44698379,18660.0,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4,Tiptronic,Front,4-5,Black,6,False,True
45770233,22580.0,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,50930 km,4,Automatic,Rear,4-5,Black,12,False,True
45803455,11604.0,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,264872 km,4,Automatic,Front,4-5,Silver,4,False,True
45760030,314.0,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4,Automatic,Front,4-5,Brown,0,False,True
45810339,5488.0,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4,Automatic,Front,4-5,Black,12,False,True
45759786,4300.0,-,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111 km,4,Manual,Rear,4-5,Black,1,False,True
45642844,18817.0,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4,Automatic,Front,4-5,White,12,False,True
44921934,21169.0,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4,Automatic,4x4,4-5,Grey,8,False,True
45462592,9095.0,-,FIAT,500,2011,Coupe,No,Petrol,1.2,141000 km,4,Automatic,Front,2-3,Red,4,False,False
45634898,1568.0,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2.0,82392 km,4,Automatic,Front,4-5,Silver,12,False,True
45777114,3136.0,-,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0,180000 km,6,Tiptronic,4x4,4-5,Blue,6,True,False
45451626,17876.0,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4,Tiptronic,Front,4-5,Grey,12,False,True
45732976,11290.0,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,279787 km,4,Automatic,Front,4-5,Silver,4,False,True
44452971,36065.0,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6,Tiptronic,Front,4-5,White,16,False,True
45648000,862.0,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4,Automatic,Front,4-5,White,12,False,True
45796845,21395.0,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4,Automatic,Front,4-5,Silver,4,False,True
45733140,15681.0,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,258706 km,4,Automatic,Front,4-5,Silver,4,False,True
45762282,627.0,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4,Automatic,Front,4-5,Red,0,False,True
45810003,40070.0,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4,Automatic,Front,4-5,Black,4,False,True
44875253,11917.0,-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4,Automatic,Front,4-5,Golden,8,False,True
45807577,72130.0,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0,18918 km,4,Tiptronic,Front,4-5,Black,6,True,True
45729867,35927.0,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2.0,137267 km,4,Automatic,Front,4-5,Silver,4,False,True
45801397,21012.0,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4,Automatic,4x4,4-5,White,4,False,True
45765622,21012.0,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6,Automatic,Front,4-5,Grey,12,False,True
45781785,13172.0,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4,Automatic,Front,4-5,White,6,False,True
45802035,15624.0,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2.0,107005 km,4,Automatic,Front,4-5,Grey,4,False,True
45811318,4547.0,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000 km,4,Manual,Front,4-5,Beige,2,False,True
45751101,5488.0,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6,Automatic,4x4,4-5,Black,12,False,True
45801611,20005.0,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4,Automatic,Front,4-5,White,4,False,True
45792460,36110.0,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6,Tiptronic,Front,4-5,Silver,8,False,True
45798511,7840.0,-,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777 km,6,Manual,Rear,4-5,Blue,4,False,True
45765057,470.0,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2.0,11566 km,4,Automatic,4x4,4-5,Black,12,False,True
45782173,1300.0,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1,Tiptronic,Rear,>5,Blue,0,False,False
45802937,43880.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,113700 km,4,Automatic,Front,4-5,Silver,4,False,True
45675386,29479.0,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8,69000 km,4,Tiptronic,Rear,4-5,Grey,8,True,True
45795520,17249.0,-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4,Variator,Front,4-5,White,12,False,True
45778720,9408.0,-,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926 km,4,Automatic,4x4,4-5,Silver,2,False,False
45802938,44213.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,50255 km,4,Automatic,Front,4-5,Red,4,False,True
45801304,8467.0,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6,Manual,Rear,4-5,Grey,6,False,True
45808583,627.0,915,AUDI,A6,2014,Sedan,Yes,Petrol,3.0,164488 km,6,Automatic,4x4,4-5,Silver,12,False,True
45395938,21950.0,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4,125000 km,4,Manual,4x4,4-5,White,2,True,True
45810208,706.0,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4,Automatic,Front,4-5,Red,12,False,True
45766275,3136.0,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4,Automatic,Front,4-5,Black,12,False,True
45793851,3450.0,-,OPEL,Vectra,1995,Sedan,No,CNG,2.0,0 km,4,Manual,Front,4-5,White,2,False,True
45805913,9408.0,-,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5,11000 km,6,Tiptronic,4x4,4-5,Silver,4,True,False
45793479,31500.0,-,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4.0,90200 km,6,Tiptronic,4x4,4-5,Black,12,False,True
43390500,20385.0,-,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3.0,184000 km,6,Automatic,4x4,4-5,White,12,False,False
45769518,314.0,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6,Automatic,4x4,4-5,Silver,12,False,True
45792823,2300.0,-,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2.0,0 km,4,Manual,Front,4-5,Green,0,False,True
45776494,7840.0,-,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000 km,4,Tiptronic,Front,4-5,Silver,4,False,True
45787317,56450.0,-,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000 km,4,Tiptronic,Front,4-5,Blue,12,False,True
